personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Stephen Jackson,"G, F",435,1059,41.07648725212464,121,359,33.70473537604457,249,305,81.63934426229508,53,251,304,241,80,28,209,161,1240,-253
Sterling Brown,F,59,155,38.064516129032256,28,92,30.434782608695656,14,15,93.33333333333333,26,123,149,34,14,7,23,56,160,32
Steve Blake,G,138,360,38.333333333333336,79,230,34.34782608695652,21,28,75.0,14,131,145,302,44,11,112,106,376,-113
Sundiata Gaines,G,122,319,38.24451410658307,32,99,32.323232323232325,70,116,60.3448275862069,37,95,132,151,64,2,65,69,346,-106
Svi Mykhailiuk,"G, F",380,934,40.68522483940043,252,657,38.35616438356164,110,143,76.92307692307693,55,222,277,254,94,15,135,161,1122,102
Tacko Fall,C,37,55,67.27272727272727,0,0,0.0,8,25,32.0,24,66,90,6,2,30,12,32,82,38
Taj Gibson,"F, C",1878,3793,49.51225942525706,5,38,13.157894736842104,802,1144,70.1048951048951,1112,1872,2984,496,245,592,589,1175,4563,670
Taurean Prince,"F, G",1200,2920,41.0958904109589,540,1460,36.986301369863014,457,555,82.34234234234235,166,1102,1268,579,266,136,526,639,3397,-696
Tayshaun Prince,F,1126,2502,45.00399680255796,110,289,38.062283737024224,305,411,74.20924574209245,224,722,946,535,98,96,230,245,2667,-596
Terry Rozier,"G, F",2925,6962,42.01378914105142,1199,3269,36.67788314469257,1015,1235,82.18623481781377,380,1862,2242,2026,546,141,778,851,8064,-970
Thabo Sefolosha,"F, G",466,1015,45.91133004926108,108,321,33.64485981308411,162,232,69.82758620689656,159,668,827,289,234,89,164,273,1202,82
Thaddeus Young,"F, C",1296,2553,50.76380728554641,117,347,33.71757925072046,261,419,62.29116945107399,490,1074,1564,582,316,108,417,524,2970,-299
Theo Maledon,G,121,320,37.8125,33,125,26.400000000000002,74,86,86.04651162790698,18,128,146,180,44,12,74,79,349,-204
Theo Pinson,F,115,354,32.48587570621469,59,218,27.06422018348624,55,61,90.1639344262295,26,148,174,140,34,7,68,96,344,-132
Thomas Bryant,C,33,68,48.529411764705884,4,9,44.44444444444444,13,18,72.22222222222221,19,41,60,2,2,7,10,25,83,-57
Thomas Robinson,"C, F",130,291,44.67353951890035,0,1,0.0,47,109,43.11926605504588,136,223,359,46,39,36,69,111,307,-278
Thon Maker,"C, F",153,345,44.34782608695652,45,141,31.914893617021278,119,168,70.83333333333334,86,205,291,74,38,76,72,159,470,-198
Tiago Splitter,C,81,155,52.25806451612903,0,2,0.0,39,48,81.25,45,75,120,30,20,12,24,71,201,102
