personName,teamName,season_year,position,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Daniel Theis,Celtics,2018-19,C,13.614080459770115,2.1206896551724137,3.9827586206896552,53.246753246753244,0.3793103448275862,1.0,37.93103448275862,0.8448275862068966,1.1724137931034482,72.05882352941177,1.3448275862068966,2.0517241379310347,3.396551724137931,1.0344827586206897,0.3103448275862069,0.603448275862069,0.46551724137931033,2.413793103448276,5.4655172413793105,1.9310344827586208
Daniel Theis,Celtics,2018-19,F,14.745833333333334,2.875,4.375,65.71428571428571,0.5,1.125,44.44444444444444,0.875,1.0,87.5,1.125,2.375,3.5,1.0,0.375,0.875,0.75,2.625,7.125,2.375
Daniel Theis,Celtics,2019-20,C,24.094871794871796,3.707692307692308,6.553846153846154,56.57276995305165,0.49230769230769234,1.476923076923077,33.33333333333333,1.3384615384615384,1.7538461538461538,76.3157894736842,2.1538461538461537,4.4,6.553846153846154,1.7076923076923076,0.5692307692307692,1.2923076923076924,0.8307692307692308,3.3692307692307693,9.246153846153845,3.123076923076923
Daniel Theis,Celtics,2020-21,C,25.118055555555557,3.9166666666666665,7.458333333333333,52.513966480446925,0.7083333333333334,2.4166666666666665,29.31034482758621,0.75,1.25,60.0,1.4583333333333333,3.9166666666666665,5.375,1.875,0.4583333333333333,0.9166666666666666,1.0833333333333333,2.9166666666666665,9.291666666666666,-1.0833333333333333
Daniel Theis,Celtics,2020-21,F,23.557407407407407,3.611111111111111,6.055555555555555,59.63302752293578,0.8888888888888888,2.0555555555555554,43.24324324324324,1.5555555555555556,2.0555555555555554,75.67567567567568,1.0555555555555556,4.0,5.055555555555555,1.2222222222222223,0.7777777777777778,1.1666666666666667,0.8333333333333334,2.7777777777777777,9.666666666666666,5.222222222222222
Daniel Theis,Celtics,2021-22,C,19.70925925925926,3.388888888888889,5.722222222222222,59.22330097087378,0.5,1.3333333333333333,37.5,0.9444444444444444,1.2222222222222223,77.27272727272727,1.4444444444444444,3.5555555555555554,5.0,1.0,0.3888888888888889,0.7222222222222222,0.6666666666666666,2.4444444444444446,8.222222222222221,5.277777777777778
Daniel Theis,Celtics,2021-22,F,12.805555555555555,2.0,3.0,66.66666666666666,0.3333333333333333,1.3333333333333333,25.0,1.6666666666666667,3.3333333333333335,50.0,0.3333333333333333,2.3333333333333335,2.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,6.0,12.0
Daniel Theis,Clippers,2023-24,C,17.057909604519775,2.6271186440677967,4.898305084745763,53.63321799307958,0.4406779661016949,1.1864406779661016,37.142857142857146,0.6440677966101694,0.847457627118644,76.0,1.4406779661016949,2.694915254237288,4.135593220338983,1.0338983050847457,0.3559322033898305,0.864406779661017,0.711864406779661,2.135593220338983,6.338983050847458,1.0508474576271187
Daniel Theis,Pacers,2022-23,C,15.547619047619047,3.0,6.285714285714286,47.72727272727273,0.2857142857142857,1.5714285714285714,18.181818181818183,0.7142857142857143,1.7142857142857142,41.66666666666667,1.0,2.142857142857143,3.142857142857143,1.2857142857142858,0.2857142857142857,0.8571428571428571,0.42857142857142855,1.0,7.0,-2.7142857142857144
Daniel Theis,Pacers,2023-24,C,8.433333333333334,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
