personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Willy Hernangomez,"C, F",705,1310,53.81679389312977,13,53,24.528301886792452,355,491,72.30142566191446,510,911,1421,263,109,98,250,411,1778,-113
Wilson Chandler,F,351,778,45.11568123393317,99,285,34.73684210526316,101,126,80.15873015873017,66,284,350,96,37,73,74,181,902,39
Xavier Henry,"G, F",368,907,40.57331863285557,41,126,32.53968253968254,273,430,63.48837209302326,81,270,351,120,100,23,139,264,1050,-246
Xavier Moon,G,43,106,40.56603773584906,8,34,23.52941176470588,4,7,57.14285714285714,10,25,35,50,10,6,12,19,98,-32
Xavier Tillman,"F, C",540,1034,52.22437137330754,48,182,26.373626373626376,147,256,57.421875,317,564,881,290,193,112,152,336,1275,-96
Zach LaVine,G,1045,2346,44.54390451832907,300,793,37.83102143757881,427,520,82.11538461538461,73,529,602,666,164,37,433,455,2817,-951
Zach Randolph,"F, C",3079,6498,47.38381040320099,48,234,20.51282051282051,1374,1828,75.16411378555799,1565,3097,4662,936,349,120,884,1079,7580,1247
Zaza Pachulia,"C, F",389,878,44.30523917995444,0,4,0.0,236,290,81.37931034482759,338,495,833,314,125,35,225,294,1014,81
Ziaire Williams,"F, G",425,998,42.58517034068136,159,528,30.113636363636363,122,152,80.26315789473685,77,311,388,175,85,27,144,256,1131,-201
Zion Williamson,F,1753,2960,59.222972972972975,29,85,34.11764705882353,1007,1449,69.49620427881298,411,788,1199,761,181,111,518,401,4542,443
Zoran Dragic,G,9,22,40.909090909090914,3,9,33.33333333333333,1,2,50.0,3,2,5,4,2,0,5,5,22,-13
Zydrunas Ilgauskas,C,162,319,50.78369905956113,0,1,0.0,36,46,78.26086956521739,108,179,287,26,23,58,52,185,360,212
