personName,teamName,season_year,position,mean_minutes_played,total_minutes_played
Al Horford,Celtics,2022-23,C,30.234814814814815,1360.5666666666666
Al Horford,Celtics,2022-23,F,31.15740740740741,560.8333333333334
Al Horford,Celtics,2023-24,C,26.344736842105263,1001.1
Al Horford,Celtics,2023-24,F,27.35987654320988,738.7166666666667
Al Horford,Hawks,2010-11,C,35.785714285714285,1753.5
Al Horford,Hawks,2010-11,F,33.93690476190476,950.2333333333333
Al Horford,Hawks,2011-12,C,31.634848484848487,347.98333333333335
Al Horford,Hawks,2012-13,C,37.074137931034485,2150.3
Al Horford,Hawks,2012-13,F,37.88645833333333,606.1833333333333
Al Horford,Hawks,2013-14,C,33.24074074074074,897.5
Al Horford,Hawks,2013-14,F,30.116666666666667,60.233333333333334
Al Horford,Hawks,2014-15,C,30.49761904761905,2134.8333333333335
Al Horford,Hawks,2014-15,F,30.569444444444446,183.41666666666669
Al Horford,Hawks,2015-16,C,31.98875,2559.1
Al Horford,Hawks,2015-16,F,36.04166666666667,72.08333333333334
Al Horford,Thunder,2020-21,C,27.920238095238094,781.7666666666667
Al Jefferson,Bobcats,2013-14,C,34.97579908675799,2553.233333333333
Al Jefferson,Hornets,2014-15,C,30.643076923076922,1991.8
Al Jefferson,Hornets,2015-16,C,23.32836879432624,1096.4333333333334
Al Jefferson,Jazz,2010-11,C,35.855144032921814,2904.266666666667
Al Jefferson,Jazz,2010-11,F,36.18333333333333,36.18333333333333
Al Jefferson,Jazz,2011-12,C,34.01639344262295,2075.0
Al Jefferson,Jazz,2012-13,C,33.0542735042735,2578.233333333333
Al Jefferson,Pacers,2016-17,C,14.10050505050505,930.6333333333333
Al Jefferson,Pacers,2017-18,C,13.43287037037037,483.5833333333333
Al Thornton,Warriors,2010-11,F,14.293181818181818,314.45
Al Thornton,Wizards,2010-11,F,21.8187074829932,1069.1166666666668
Al-Farouq Aminu,Bulls,2020-21,F,11.236111111111112,67.41666666666667
Al-Farouq Aminu,Clippers,2010-11,F,17.924074074074074,1451.85
Al-Farouq Aminu,Hornets,2011-12,F,22.379797979797978,1477.0666666666666
Al-Farouq Aminu,Hornets,2012-13,F,27.1859649122807,2066.133333333333
Al-Farouq Aminu,Magic,2019-20,F,21.115740740740744,380.08333333333337
Al-Farouq Aminu,Magic,2020-21,F,21.571568627450983,366.7166666666667
Al-Farouq Aminu,Mavericks,2014-15,F,18.456306306306306,1365.7666666666667
Al-Farouq Aminu,Pelicans,2013-14,F,25.56854166666667,2045.4833333333333
Al-Farouq Aminu,Trail Blazers,2015-16,F,28.547154471544715,2340.866666666667
Al-Farouq Aminu,Trail Blazers,2016-17,F,29.06530054644809,1772.9833333333333
Al-Farouq Aminu,Trail Blazers,2017-18,F,30.031400966183572,2072.1666666666665
Al-Farouq Aminu,Trail Blazers,2018-19,F,28.29259259259259,2291.7
Alan Anderson,Clippers,2016-17,G,10.27888888888889,308.3666666666667
Alan Anderson,Nets,2013-14,F,23.66166666666667,709.85
Alan Anderson,Nets,2013-14,G,22.13888888888889,1062.6666666666667
Alan Anderson,Nets,2014-15,F,23.109139784946237,716.3833333333333
Alan Anderson,Nets,2014-15,G,23.905813953488373,1027.95
Alan Anderson,Raptors,2011-12,F,25.971875,415.55
Alan Anderson,Raptors,2011-12,G,45.18333333333333,45.18333333333333
Alan Anderson,Raptors,2012-13,F,22.92,1375.2
Alan Anderson,Raptors,2012-13,G,23.966666666666665,119.83333333333333
Alan Anderson,Wizards,2015-16,F,14.783333333333333,192.18333333333334
Alec Burks,76ers,2019-20,G,20.23148148148148,364.1666666666667
Alec Burks,Cavaliers,2018-19,F,27.025,108.1
Alec Burks,Cavaliers,2018-19,G,29.033333333333335,871.0
Alec Burks,Jazz,2011-12,G,15.913841807909604,938.9166666666666
